season,date,div_conf_name,points_threshold
2011-12,2012-03-25,Pacific,87
2011-12,2012-03-26,Pacific,87
2011-12,2012-03-27,Pacific,88
2011-12,2012-03-28,Pacific,88
2011-12,2012-03-29,Pacific,89
2011-12,2012-03-30,Pacific,89
2011-12,2012-03-31,Pacific,90
2011-12,2012-04-01,Pacific,91
2011-12,2012-04-02,Pacific,91
2011-12,2012-04-03,Pacific,93
2011-12,2012-04-04,Pacific,93
2011-12,2012-04-05,Pacific,93
2011-12,2012-04-06,Pacific,95
2011-12,2012-04-07,Pacific,95
2011-12,2012-04-08,Pacific,97
2011-12,2012-04-09,Pacific,97
2011-12,2012-04-10,Pacific,97
2011-12,2012-04-11,Pacific,97
2011-12,2012-04-12,Pacific,97
2011-12,2012-04-13,Pacific,97
2011-12,2012-04-14,Pacific,97
2011-12,2012-04-15,Pacific,97
2011-12,2012-04-16,Pacific,97
2011-12,2012-04-17,Pacific,97
2011-12,2012-04-18,Pacific,97
2011-12,2012-04-19,Pacific,97
2011-12,2012-04-20,Pacific,97
2011-12,2012-04-21,Pacific,97
2011-12,2012-04-22,Pacific,97
2011-12,2012-04-23,Pacific,97
2011-12,2012-04-24,Pacific,97
2011-12,2012-04-25,Pacific,97
2011-12,2012-04-26,Pacific,97
2011-12,2012-04-27,Pacific,97
2011-12,2012-04-28,Pacific,97
2011-12,2012-04-29,Pacific,97
2011-12,2012-04-30,Pacific,97
2011-12,2012-05-01,Pacific,97
2011-12,2012-05-02,Pacific,97
2011-12,2012-05-03,Pacific,97
2011-12,2012-05-04,Pacific,97
2011-12,2012-05-05,Pacific,97
2011-12,2012-05-06,Pacific,97
2011-12,2012-05-07,Pacific,97
2011-12,2012-05-08,Pacific,97
2011-12,2012-05-09,Pacific,97
2011-12,2012-05-10,Pacific,97
2011-12,2012-05-11,Pacific,97
2011-12,2012-05-12,Pacific,97
2011-12,2012-05-13,Pacific,97
2011-12,2012-05-14,Pacific,97
2011-12,2012-05-15,Pacific,97
2011-12,2012-05-16,Pacific,97
2011-12,2012-05-17,Pacific,97
2011-12,2012-05-18,Pacific,97
2011-12,2012-05-19,Pacific,97
2011-12,2012-05-20,Pacific,97
2011-12,2012-05-21,Pacific,97
2011-12,2012-05-22,Pacific,97
2011-12,2012-05-23,Pacific,97
2011-12,2012-05-24,Pacific,97
2011-12,2012-05-25,Pacific,97
2011-12,2012-05-26,Pacific,97
2011-12,2012-05-27,Pacific,97
2011-12,2012-05-28,Pacific,97
2011-12,2012-05-29,Pacific,97
2011-12,2012-05-30,Pacific,97
2011-12,2012-05-31,Pacific,97
2011-12,2011-06-01,Northeast,0
2011-12,2011-06-02,Northeast,0
2011-12,2011-06-03,Northeast,0
2011-12,2011-06-04,Northeast,0
2011-12,2011-06-05,Northeast,0
2011-12,2011-06-06,Northeast,0
2011-12,2011-06-07,Northeast,0
2011-12,2011-06-08,Northeast,0
2011-12,2011-06-09,Northeast,0
2011-12,2011-06-10,Northeast,0
2011-12,2011-06-11,Northeast,0
2011-12,2011-06-12,Northeast,0
2011-12,2011-06-13,Northeast,0
2011-12,2011-06-14,Northeast,0
2011-12,2011-06-15,Northeast,0
2011-12,2011-06-16,Northeast,0
2011-12,2011-06-17,Northeast,0
2011-12,2011-06-18,Northeast,0
2011-12,2011-06-19,Northeast,0
2011-12,2011-06-20,Northeast,0
2011-12,2011-06-21,Northeast,0
2011-12,2011-06-22,Northeast,0
2011-12,2011-06-23,Northeast,0
2011-12,2011-06-24,Northeast,0
2011-12,2011-06-25,Northeast,0
2011-12,2011-06-26,Northeast,0
2011-12,2011-06-27,Northeast,0
2011-12,2011-06-28,Northeast,0
2011-12,2011-06-29,Northeast,0
2011-12,2011-06-30,Northeast,0
2011-12,2011-07-01,Northeast,0
2011-12,2011-07-02,Northeast,0
2011-12,2011-07-03,Northeast,0
2011-12,2011-07-04,Northeast,0
2011-12,2011-07-05,Northeast,0
2011-12,2011-07-06,Northeast,0
2011-12,2011-07-07,Northeast,0
2011-12,2011-07-08,Northeast,0
2011-12,2011-07-09,Northeast,0
2011-12,2011-07-10,Northeast,0
2011-12,2011-07-11,Northeast,0
2011-12,2011-07-12,Northeast,0
2011-12,2011-07-13,Northeast,0
2011-12,2011-07-14,Northeast,0
2011-12,2011-07-15,Northeast,0
2011-12,2011-07-16,Northeast,0
2011-12,2011-07-17,Northeast,0
2011-12,2011-07-18,Northeast,0
2011-12,2011-07-19,Northeast,0
2011-12,2011-07-20,Northeast,0
2011-12,2011-07-21,Northeast,0
2011-12,2011-07-22,Northeast,0
2011-12,2011-07-23,Northeast,0
2011-12,2011-07-24,Northeast,0
2011-12,2011-07-25,Northeast,0
2011-12,2011-07-26,Northeast,0
2011-12,2011-07-27,Northeast,0
2011-12,2011-07-28,Northeast,0
2011-12,2011-07-29,Northeast,0
2011-12,2011-07-30,Northeast,0
2011-12,2011-07-31,Northeast,0
2011-12,2011-08-01,Northeast,0
2011-12,2011-08-02,Northeast,0
2011-12,2011-08-03,Northeast,0
2011-12,2011-08-04,Northeast,0
2011-12,2011-08-05,Northeast,0
2011-12,2011-08-06,Northeast,0
2011-12,2011-08-07,Northeast,0
2011-12,2011-08-08,Northeast,0
2011-12,2011-08-09,Northeast,0
2011-12,2011-08-10,Northeast,0
2011-12,2011-08-11,Northeast,0
2011-12,2011-08-12,Northeast,0
2011-12,2011-08-13,Northeast,0
2011-12,2011-08-14,Northeast,0
2011-12,2011-08-15,Northeast,0
2011-12,2011-08-16,Northeast,0
2011-12,2011-08-17,Northeast,0
2011-12,2011-08-18,Northeast,0
2011-12,2011-08-19,Northeast,0
2011-12,2011-08-20,Northeast,0
2011-12,2011-08-21,Northeast,0
2011-12,2011-08-22,Northeast,0
2011-12,2011-08-23,Northeast,0
2011-12,2011-08-24,Northeast,0
2011-12,2011-08-25,Northeast,0
2011-12,2011-08-26,Northeast,0
2011-12,2011-08-27,Northeast,0
2011-12,2011-08-28,Northeast,0
2011-12,2011-08-29,Northeast,0
2011-12,2011-08-30,Northeast,0
2011-12,2011-08-31,Northeast,0
2011-12,2011-09-01,Northeast,0
2011-12,2011-09-02,Northeast,0
2011-12,2011-09-03,Northeast,0
2011-12,2011-09-04,Northeast,0
2011-12,2011-09-05,Northeast,0
2011-12,2011-09-06,Northeast,0
2011-12,2011-09-07,Northeast,0
2011-12,2011-09-08,Northeast,0
2011-12,2011-09-09,Northeast,0
2011-12,2011-09-10,Northeast,0
2011-12,2011-09-11,Northeast,0
2011-12,2011-09-12,Northeast,0
2011-12,2011-09-13,Northeast,0
2011-12,2011-09-14,Northeast,0
2011-12,2011-09-15,Northeast,0
2011-12,2011-09-16,Northeast,0
2011-12,2011-09-17,Northeast,0
2011-12,2011-09-18,Northeast,0
2011-12,2011-09-19,Northeast,0
2011-12,2011-09-20,Northeast,0
2011-12,2011-09-21,Northeast,0
2011-12,2011-09-22,Northeast,0
2011-12,2011-09-23,Northeast,0
2011-12,2011-09-24,Northeast,0
2011-12,2011-09-25,Northeast,0
2011-12,2011-09-26,Northeast,0
2011-12,2011-09-27,Northeast,0
2011-12,2011-09-28,Northeast,0
2011-12,2011-09-29,Northeast,0
2011-12,2011-09-30,Northeast,0
2011-12,2011-10-01,Northeast,0
2011-12,2011-10-02,Northeast,0
2011-12,2011-10-03,Northeast,0
2011-12,2011-10-04,Northeast,0
2011-12,2011-10-05,Northeast,0
2011-12,2011-10-06,Northeast,2
2011-12,2011-10-07,Northeast,2
2011-12,2011-10-08,Northeast,4
2011-12,2011-10-09,Northeast,4
2011-12,2011-10-10,Northeast,4
2011-12,2011-10-11,Northeast,4
2011-12,2011-10-12,Northeast,4
2011-12,2011-10-13,Northeast,4
2011-12,2011-10-14,Northeast,4
2011-12,2011-10-15,Northeast,6
2011-12,2011-10-16,Northeast,6
2011-12,2011-10-17,Northeast,7
2011-12,2011-10-18,Northeast,8
2011-12,2011-10-19,Northeast,9
2011-12,2011-10-20,Northeast,10
2011-12,2011-10-21,Northeast,10
2011-12,2011-10-22,Northeast,11
2011-12,2011-10-23,Northeast,11
2011-12,2011-10-24,Northeast,11
2011-12,2011-10-25,Northeast,11
2011-12,2011-10-26,Northeast,11
2011-12,2011-10-27,Northeast,13
2011-12,2011-10-28,Northeast,13
2011-12,2011-10-29,Northeast,15
2011-12,2011-10-30,Northeast,15
2011-12,2011-10-31,Northeast,15
2011-12,2011-11-01,Northeast,15
2011-12,2011-11-02,Northeast,17
2011-12,2011-11-03,Northeast,19
2011-12,2011-11-04,Northeast,19
2011-12,2011-11-05,Northeast,19
2011-12,2011-11-06,Northeast,19
2011-12,2011-11-07,Northeast,19
2011-12,2011-11-08,Northeast,19
2011-12,2011-11-09,Northeast,19
2011-12,2011-11-10,Northeast,19
2011-12,2011-11-11,Northeast,21
2011-12,2011-11-12,Northeast,21
2011-12,2011-11-13,Northeast,21
2011-12,2011-11-14,Northeast,21
2011-12,2011-11-15,Northeast,22
2011-12,2011-11-16,Northeast,22
2011-12,2011-11-17,Northeast,22
2011-12,2011-11-18,Northeast,22
2011-12,2011-11-19,Northeast,24
2011-12,2011-11-20,Northeast,24
2011-12,2011-11-21,Northeast,24
2011-12,2011-11-22,Northeast,24
2011-12,2011-11-23,Northeast,26
2011-12,2011-11-24,Northeast,26
2011-12,2011-11-25,Northeast,27
2011-12,2011-11-26,Northeast,28
2011-12,2011-11-27,Northeast,29
2011-12,2011-11-28,Northeast,30
2011-12,2011-11-29,Northeast,30
2011-12,2011-11-30,Northeast,30
2011-12,2011-12-01,Northeast,31
2011-12,2011-12-02,Northeast,31
2011-12,2011-12-03,Northeast,31
2011-12,2011-12-04,Northeast,33
2011-12,2011-12-05,Northeast,33
2011-12,2011-12-06,Northeast,35
2011-12,2011-12-07,Northeast,35
2011-12,2011-12-08,Northeast,35
2011-12,2011-12-09,Northeast,35
2011-12,2011-12-10,Northeast,35
2011-12,2011-12-11,Northeast,37
2011-12,2011-12-12,Northeast,37
2011-12,2011-12-13,Northeast,37
2011-12,2011-12-14,Northeast,39
2011-12,2011-12-15,Northeast,41
2011-12,2011-12-16,Northeast,41
2011-12,2011-12-17,Northeast,43
2011-12,2011-12-18,Northeast,43
2011-12,2011-12-19,Northeast,43
2011-12,2011-12-20,Northeast,45
2011-12,2011-12-21,Northeast,45
2011-12,2011-12-22,Northeast,45
2011-12,2011-12-23,Northeast,45
2011-12,2011-12-24,Northeast,47
2011-12,2011-12-25,Northeast,47
2011-12,2011-12-26,Northeast,47
2011-12,2011-12-27,Northeast,47
2011-12,2011-12-28,Northeast,47
2011-12,2011-12-29,Northeast,49
2011-12,2011-12-30,Northeast,49
2011-12,2011-12-31,Northeast,49
2011-12,2012-01-01,Northeast,49
2011-12,2012-01-02,Northeast,49
2011-12,2012-01-03,Northeast,49
2011-12,2012-01-04,Northeast,49
2011-12,2012-01-05,Northeast,51
2011-12,2012-01-06,Northeast,53
2011-12,2012-01-07,Northeast,53
2011-12,2012-01-08,Northeast,53
2011-12,2012-01-09,Northeast,53
2011-12,2012-01-10,Northeast,53
2011-12,2012-01-11,Northeast,55
2011-12,2012-01-12,Northeast,55
2011-12,2012-01-13,Northeast,57
2011-12,2012-01-14,Northeast,57
2011-12,2012-01-15,Northeast,57
2011-12,2012-01-16,Northeast,57
2011-12,2012-01-17,Northeast,59
2011-12,2012-01-18,Northeast,59
2011-12,2012-01-19,Northeast,59
2011-12,2012-01-20,Northeast,61
2011-12,2012-01-21,Northeast,62
2011-12,2012-01-22,Northeast,64
2011-12,2012-01-23,Northeast,64
2011-12,2012-01-24,Northeast,64
2011-12,2012-01-25,Northeast,64
2011-12,2012-01-26,Northeast,64
2011-12,2012-01-27,Northeast,64
2011-12,2012-01-28,Northeast,64
2011-12,2012-01-29,Northeast,64
2011-12,2012-01-30,Northeast,64
2011-12,2012-01-31,Northeast,64
2011-12,2012-02-01,Northeast,66
2011-12,2012-02-02,Northeast,66
2011-12,2012-02-03,Northeast,66
2011-12,2012-02-04,Northeast,66
2011-12,2012-02-05,Northeast,68
2011-12,2012-02-06,Northeast,68
2011-12,2012-02-07,Northeast,68
2011-12,2012-02-08,Northeast,68
2011-12,2012-02-09,Northeast,68
2011-12,2012-02-10,Northeast,68
2011-12,2012-02-11,Northeast,70
2011-12,2012-02-12,Northeast,70
2011-12,2012-02-13,Northeast,70
2011-12,2012-02-14,Northeast,70
2011-12,2012-02-15,Northeast,70
2011-12,2012-02-16,Northeast,72
2011-12,2012-02-17,Northeast,72
2011-12,2012-02-18,Northeast,72
2011-12,2012-02-19,Northeast,72
2011-12,2012-02-20,Northeast,72
2011-12,2012-02-21,Northeast,72
2011-12,2012-02-22,Northeast,72
2011-12,2012-02-23,Northeast,74
2011-12,2012-02-24,Northeast,74
2011-12,2012-02-25,Northeast,75
2011-12,2012-02-26,Northeast,77
2011-12,2012-02-27,Northeast,77
2011-12,2012-02-28,Northeast,77
2011-12,2012-02-29,Northeast,77
2011-12,2012-03-01,Northeast,77
2011-12,2012-03-02,Northeast,79
2011-12,2012-03-03,Northeast,79
2011-12,2012-03-04,Northeast,79
2011-12,2012-03-05,Northeast,79
2011-12,2012-03-06,Northeast,79
2011-12,2012-03-07,Northeast,81
